SENTENCES,ANNOTED DATA
Familiar with various development languages like Django (Python) and PHP and deployment platforms like GCP and AWS,"(""Familiar with various development languages like Django (Python) and PHP and deployment platforms like GCP and AWS."",{""entities"":[(281,287,""TECH_SKILLS""),(314,320,""TECH_SKILLS""),(351,354,""TECH_SKILLS""),(410,413,""TECH_SKILLS""),(443,446,""TECH_SKILLS"")]})"
"MIT Academy of Engineering, Pune"",{""entities"":[(149,160,""COLLEGE""),(185,196,""EDUCATION","(""MIT Academy of Engineering, Pune"",{""entities"":[(149,160,""COLLEGE""),(185,196,""EDUCATION""),(221,225,""LOCATION"")]})"
Software Developer Intern,"(""Software Developer Intern"",{""entities"":[(142,167,""JOB_ROLE"")]})"
"Just Get IT, Mumbai","(""Just Get IT, Mumbai"",{""entities"":[(136,147,""ORGANIZATION""),(175,181,""LOCATION"")]})"
"Recognized the need for an intuitive Product Upload form and hence developed it using JavaScript, AJAX and backend in Django/Python. Solved all the errors and rectified it according to clients needs","(""Recognized the need for an intuitive Product Upload form and hence developed it using JavaScript, AJAX and backend in Django/Python. Solved all the errors and rectified it according to clients needs."",{""entities"":[(203,213,""TECH_SKILLS""),(240,244,""TECH_SKILLS""),(285,291,""TECH_SKILLS""),(317,323,""TECH_SKILLS"")]})"
Developed a Resume Parser using Machine Learning and Hard-Coding it to achieve nearly 75% accuracy.,"(""Developed a Resume Parser using Machine Learning and Hard-Coding it to achieve nearly 75% accuracy."",{""entities"":[(158,174,""TECH_SKILLS"")]})"
"Full Stack Developer Intern 2019-05 2019-08 Analytics Domain, Pune","(""Full Stack Developer Intern 2019-05 2019-08 Analytics Domain, Pune"",{""entities"":[(144,171,""JOB_ROLE""),(210,226,""ORGANIZATION""),(254,258,""LOCATION"")]})"
Worked on Online Essay Grading Website using Machine Learning with Django framework. Focused on creating a prediction model using NLP and Neutral Networks.,"(""Worked on Online Essay Grading Website using Machine Learning with Django framework. Focused on creating a prediction model using NLP and Neutral Networks."",{""entities"":[(257,273,""TECH_SKILLS""),(304,320,""TECH_SKILLS""),(392,395,""TECH_SKILLS""),(425,441,""TECH_SKILLS"")]})"
Connected the Python backend to PHP framework using REST APIs. Deployed the Python backend to GCP Compute Engine and created database on Cloud SQL,"(""Connected the Python backend to PHP framework using REST APIs. Deployed the Python backend to GCP Compute Engine and created database on Cloud SQL."",{""entities"":[(224,230,""TECH_SKILLS""),(312,321,""TECH_SKILLS""),(361,367,""TECH_SKILLS""),(404,422,""TECH_SKILLS""),(478,481,""TECH_SKILLS""),(367,370,""TECH_SKILLS"")]})"
"Software Development, CPP, Python, Java, R, JS, HTML, CSS, PHP, SQL, Pig Latin, Data Science, Hadoop, Machine Learning, Talend, Tableau, Version Control Tools, Linux, NodeJS, ReactJS, Django, Java Web, WebRTC, Socket Programming, AWS, Google Cloud, Agile Development, SDLC, DBMS, OS, Networks.","(""Software Development, CPP, Python, Java, R, JS, HTML, CSS, PHP, SQL, Pig Latin, Data Science, Hadoop, Machine Learning, Talend, Tableau, Version Control Tools, Linux, NodeJS, ReactJS, Django, Java Web, WebRTC, Socket Programming, AWS, Google Cloud, Agile Development, SDLC, DBMS, OS, Networks."",{""entities"":[(139,142,""TECH_SKILLS""),(169,175,""TECH_SKILLS""),(202,206,""TECH_SKILLS""),(233,234,""TECH_SKILLS""),(261,263,""TECH_SKILLS""),(296,299,""TECH_SKILLS""),(315,319,""TECH_SKILLS""),(351,354,""TECH_SKILLS""),(381,384,""TECH_SKILLS""),(411,420,""TECH_SKILLS""),(447,459,""TECH_SKILLS""),(486,492,""TECH_SKILLS""),(519,535,""TECH_SKILLS""),(562,568,""TECH_SKILLS""),(595,602,""TECH_SKILLS""),(678,683,""OPERATING_SYSTEM""),(715,721,""TECH_SKILLS""),(748,755,""TECH_SKILLS""),(782,788,""TECH_SKILLS""),(815,823,""TECH_SKILLS""),(850,856,""TECH_SKILLS""),(883,901,""TECH_SKILLS""),(928,931,""TECH_SKILLS""),(958,970,""TECH_SKILLS""),(997,1014,""DEV_METHODOLOGY""),(1046,1050,""DEV_METHODOLOGY"")]})"
